title,employer,min_salary,max_salary,source,link
Инженер сопровождения (Support engineer),True Engineering,-,-,https://hh.ru,https://hh.ru/vacancy/41734774
GCP Data Engineer (удаленно),"Петрович, Строительный Торговый Дом",-,-,https://hh.ru,https://hh.ru/vacancy/43932955
Data Support Engineer (Geoscience),ТОО Ренко-КАТ,-,-,https://hh.ru,https://hh.ru/vacancy/43762166
Middle/Senior Data Analyst (Client Incentives),Ситимобил,180 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43929193
Data Engineer (Гео-аналитика),"ПАО «МТС», IT",-,-,https://hh.ru,https://hh.ru/vacancy/43919750
Machine learning engineer,Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/43927479
"Senior Big Data Engineer, Financial Software Solutions",DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/41833818
Spark Data Engineer,Неофлекс,-,-,https://hh.ru,https://hh.ru/vacancy/42514482
Senior Data Engineer в BI Team,ООО ЭдСервер,-,-,https://hh.ru,https://hh.ru/vacancy/43269754
Senior Big Data Engineer with Scala and Spark,Grid Dynamics,-,-,https://hh.ru,https://hh.ru/vacancy/42359310
Инженер баз данных/ETL-разработчик,ИП Deloitte & Touche,-,-,https://hh.ru,https://hh.ru/vacancy/43415828
NOC Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43907415
BI Analyst,Tango Me,-,-,https://hh.ru,https://hh.ru/vacancy/42042080
Data-инженер хранилищ данных,Московский метрополитен,-,-,https://hh.ru,https://hh.ru/vacancy/43915739
Deep Learning Engineer (SberDevices),Сбер. IT,-,-,https://hh.ru,https://hh.ru/vacancy/43926472
Data-engineer,ООО Эвотор,-,-,https://hh.ru,https://hh.ru/vacancy/43086259
Middle/Senior data engineer,Skyeng,-,-,https://hh.ru,https://hh.ru/vacancy/41778514
NOC Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43907414
Инженер данных / Data engineer / ETL специалист,ООО Ресурс Групп,-,-,https://hh.ru,https://hh.ru/vacancy/43910499
Senior DevOps Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43893621
Senior DWH Engineer,Quantori,-,-,https://hh.ru,https://hh.ru/vacancy/43951172
Software Engineer (.NET),ООО Эргалио,-,-,https://hh.ru,https://hh.ru/vacancy/42476460
Data engineer,ТОО Bureau for Continuing Professional Development Ltd.,-,-,https://hh.ru,https://hh.ru/vacancy/43902160
Junior Big Data Software Engineer (Scala),DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/43267196
"Principal Performance Engineer, ECS/ObjectScale","Dell Technologies, Центр Разработок",-,-,https://hh.ru,https://hh.ru/vacancy/43810625
Junior Big Data Software Engineer (Python),DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/43267287
Senior Machine Learning Engineer,Grid Dynamics,-,-,https://hh.ru,https://hh.ru/vacancy/42359317
Data Support Engineer (Geoscience),ТОО Ренко-КАТ,-,-,https://hh.ru,https://hh.ru/vacancy/43762166
"Data Engineer with AWS Experience, Fintech Solutions",DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/43956703
NOC Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43907413
Machine Learning Engineer,True Engineering,-,-,https://hh.ru,https://hh.ru/vacancy/41716643
Data Scientist / Machine Learning engineer,First Line Software,-,-,https://hh.ru,https://hh.ru/vacancy/43892261
Data engineer,SOLOPHARM,-,-,https://hh.ru,https://hh.ru/vacancy/43910219
Senior C++ Engineer (Multithreading),Itiviti (Айтивити),150 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/42142862
BI Analyst,ООО Карренси Ком Бел,-,-,https://hh.ru,https://hh.ru/vacancy/43216152
Data Engineer with AWS Experience (Fintech Solutions),DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/43940800
Solution Engineer,Data Virtuality GmbH,-,-,https://hh.ru,https://hh.ru/vacancy/42715601
Data Scientist / Senior Data Scientist/ Lead Data Scientist,McKinsey & Company,-,-,https://hh.ru,https://hh.ru/vacancy/41289648
NOC Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43907417
Senior IT System Analyst,Райффайзен Банк Аваль,-,-,https://hh.ru,https://hh.ru/vacancy/43246795
ML Engineer,SberTech,-,-,https://hh.ru,https://hh.ru/vacancy/43904009
Архитектор баз данных/Data Engineer,ПАО Банк Санкт-Петербург,-,-,https://hh.ru,https://hh.ru/vacancy/42746402
ML инженер (Python разработчик / Data scientist),Imprice,90 000 руб.,200 000 руб.,https://hh.ru,https://hh.ru/vacancy/43850921
Senior Application support engineer (Linux),Инфопульс,-,-,https://hh.ru,https://hh.ru/vacancy/43881758
Data Engineer (ДКК 360),Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/43490073
Data Integration Engineer,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",-,-,https://hh.ru,https://hh.ru/vacancy/43919067
ETL Engineer,Самокат (ООО Умный ритейл),-,-,https://hh.ru,https://hh.ru/vacancy/43893969
Strong middle Python Developer / Data Engineer (PySpark),NIX,-,-,https://hh.ru,https://hh.ru/vacancy/43732472
ETL Engineer,Самокат (ООО Умный ритейл),-,-,https://hh.ru,https://hh.ru/vacancy/43893974
"Data Engineer, Online Marketplace",DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/43956657
Data Warehouse Engineer,ООО АЛИБАБА.КОМ (РУ),-,-,https://hh.ru,https://hh.ru/vacancy/42457047
DevOps Engineer (Data),Леруа Мерлен. Центральный офис,-,-,https://hh.ru,https://hh.ru/vacancy/43928834
Data engineer (ЕИСЖС),АО ДОМ.РФ,-,-,https://hh.ru,https://hh.ru/vacancy/43451190
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/43278409
Databank Support Engineer,3Shape Ukraine,-,-,https://hh.ru,https://hh.ru/vacancy/43546705
DevOps Engineer ‎(10010511)‎,"Wargaming, Moscow",-,-,https://hh.ru,https://hh.ru/vacancy/43995305
Python Developer / Data Engineer,Finery Technology,-,-,https://hh.ru,https://hh.ru/vacancy/43912859
ML engineer/Layer (SberDevices),Сбер. IT,-,-,https://hh.ru,https://hh.ru/vacancy/43927808
Data engineer,"ПАО МегаФон, IT",-,-,https://hh.ru,https://hh.ru/vacancy/43872704
Аналитик данных (Big data),Банк ВТБ (ПАО),-,-,https://hh.ru,https://hh.ru/vacancy/37312721
Software Engineer,Xored,-,-,https://hh.ru,https://hh.ru/vacancy/26300111
Python Developer / Data Engineer,Finery Technology,-,-,https://hh.ru,https://hh.ru/vacancy/43912860
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/43278405
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/43278421
DevOps Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43908189
Linux Technical Support Engineer for CloudLinuxOS,Cloud Linux,-,-,https://hh.ru,https://hh.ru/vacancy/43807491
Data Management Engineer,ТОО Ренко-КАТ,-,-,https://hh.ru,https://hh.ru/vacancy/43658932
